模型名称,模型ID,图片名称,图片路径,图片标题,图片描述,耗时(秒),输入Token,输出Token,总Token,时间戳,错误信息
豆包1.6 Flash,ep-20250612122042-t6g56,流浪猫2.png,workspace/input/穆昭/宠物\流浪猫2.png,解析失败,"蓝色箱中的双猫小憩  
画面中，一只橘白相间的猫咪与一只黑白猫咪并排躺在蓝色塑料箱内，前者毛发呈温暖的橘黄色，后者则是黑白分明的毛色，两只猫咪都微微抬头望向镜头方向，眼神清澈。蓝色塑料箱置于灰色水泥地面上，背靠斑驳的灰色墙壁，阳光从上方斜射下来，在箱身和地面投下柔和的光影，地面散落着几片枯叶，整体氛围宁静而治愈，仿佛两只小毛球在专属的“小窝”里享受着午后的暖阳。",3.988,1548,380,1928,2025-08-15T15:46:41.935494,
豆包1.6 Flash,ep-20250612122042-t6g56,猫2.png,workspace/input/穆昭/宠物\猫2.png,解析失败,"《暖阳中的依偎》
米白色流苏地毯铺在木质地板上，一只银灰虎斑猫蜷成一团，闭着眼、粉鼻轻抿，前爪温柔地抱着棕色毛绒小熊，似在与玩具相拥入眠。阳光透过窗棂洒下柔和光斑，给猫咪的条纹毛发镀上暖光，整个场景静谧又治愈，尽显萌宠与玩偶间的温馨日常。",5.34,1548,476,2024,2025-08-15T15:46:47.275102,
豆包1.6 Flash,ep-20250612122042-t6g56,绘制精美客厅猫图.png,workspace/input/穆昭/宠物\绘制精美客厅猫图.png,解析失败,"标题：暖阳下的橘猫与毛线球

详细描述：浅棕色沙发上，一只橘白相间的猫咪正蜷卧打盹，它闭着眼睛，粉鼻头轻触浅灰色毛线球，前爪温柔地环抱着，蓬松的尾巴自然垂落在沙发边缘，白色爪垫粉嫩可爱。沙发上还放着黄色、灰色和橙色靠垫，阳光透过窗户洒下柔和光斑，背景中可见木质书架、落地灯和窗台上的绿植，整个场景温暖宁静，尽显居家惬意时光。",4.17,1548,437,1985,2025-08-15T15:46:51.444859,
豆包1.6 Flash,ep-20250612122042-t6g56,猫3.png,workspace/input/穆昭/宠物\猫3.png,解析失败,"标题：被窝里的小懒猫

画面中，一只灰白条纹的猫咪正从浅蓝色的被子里探出头来。它有着明亮的绿眼睛和粉鼻头，耳朵竖起，胡须清晰，眼神带着一丝好奇望向镜头，模样憨态可掬。背景是一张铺着白色床单的床，床头是浅木色，两侧有蓝白条纹和纯白色的枕头，阳光透过窗户洒下柔和的光影，给整个场景增添了温暖舒适的氛围，仿佛猫咪在享受一个慵懒的午后时光。",4.46,1548,421,1969,2025-08-15T15:46:55.904753,
豆包1.6 Flash,ep-20250612122042-t6g56,猫.png,workspace/input/穆昭/宠物\猫.png,解析失败,"**标题：萌猫与蘑菇玩偶的温馨互动**  

画面中，一只橘白相间的小猫正专注地趴在橙色带白点的蘑菇形毛绒玩具上。小猫毛发蓬松柔软，橘色条纹分布在头顶与背部，白色绒毛覆盖脸颊、腹部及爪子，粉鼻头小巧可爱，圆溜溜的琥珀色眼睛透着纯真，前爪轻轻搭在蘑菇玩具顶部，尾巴自然垂落，尾尖带着橘色环纹。背景是柔和的室内环境，模糊可见木质书架、编织篮及窗边微光，整体氛围温暖治愈，尽显萌宠的乖巧与玩具的童趣。",4.387,1548,421,1969,2025-08-15T15:47:00.291412,
豆包1.6 Flash,ep-20250612122042-t6g56,流浪猫.png,workspace/input/穆昭/宠物\流浪猫.png,解析失败,"标题：纸箱里的好奇猫

一只灰白相间的狸花猫从打开的纸箱中探出头，绿莹莹的眼睛望向镜头，胡须微微翘起。纸箱旁的地面散落着猫粮碎屑，白色盘子里也盛着食物。背景是浅蓝色外墙的居民楼，空调外机挂在墙上，周围绿树和灌木丛环绕，午后阳光柔和地洒下，光影斑驳，整个场景充满温馨闲适的生活气息。",5.84,1548,605,2153,2025-08-15T15:47:06.131185,
豆包1.6 Flash,ep-20250612122042-t6g56,猫4.png,workspace/input/穆昭/宠物\猫4.png,解析失败,"标题：蓝眼长毛猫的暖阳时刻

画面中，一只灰白长毛猫正安静地坐在铺着白色床单的床上。它的毛发蓬松柔软，灰白相间的毛色上点缀着深色条纹，白色的胸部和爪子显得格外干净。最引人注目的是那双清澈的蓝色眼眸，明亮有神，正直视前方。背景是温馨的卧室，木质床头和白色枕头隐约可见，右侧窗户透进柔和的阳光，在床单上投下斑驳的光影，整个场景宁静而温暖，充满了治愈的氛围。",5.095,1548,550,2098,2025-08-15T15:47:11.225938,
豆包1.6 Flash,ep-20250612122042-t6g56,猫5.png,workspace/input/穆昭/宠物\猫5.png,解析失败,"标题：戴蓝白条纹巾的萌猫仰躺招手

画面中一只浅橘色长毛猫仰躺在铺着浅色布料的沙发上，蓬松的毛发在柔和阳光下泛着暖光。它戴着蓝白条纹三角巾，巾角有卡通图案，圆溜溜的绿眼睛望向斜上方，一只前爪高高举起，粉粉的肉垫清晰可见，另一只爪子自然搭在身侧，姿态俏皮。背景是蓝白格子纹靠枕和浅黄毛绒抱枕，阳光透过窗户洒下，光影柔和，整个场景充满温馨治愈的氛围。",4.977,1548,567,2115,2025-08-15T15:47:16.203175,
豆包1.6 Flash,ep-20250612122042-t6g56,浣熊.png,workspace/input/穆昭/宠物\浣熊.png,解析失败,"标题：圆木桌上的小熊猫  
小熊猫趴在粗糙的圆木桌上，红棕色毛发间点缀着白色脸颊与黑色四肢，圆眼圆鼻，前爪自然舒展，正好奇望向镜头。背景是玻璃幕墙环绕的建筑，木质旋转楼梯上有模糊游客身影，周围绿植点缀，阳光透过树叶在桌上投下斑驳光影，整体氛围温馨自然。",3.985,1548,398,1946,2025-08-15T15:47:20.188219,
豆包1.6 Flash,ep-20250612122042-t6g56,狗.png,workspace/input/穆昭/宠物\狗.png,解析失败,"标题：栅栏后的惬意柴犬

画面中，一只棕白相间的柴犬正趴在灰色金属栅栏后，耳朵竖立，眼睛微闭似在微笑，黑色的鼻子小巧可爱，白色胡须清晰可见。它前爪搭在栅栏上，蓬松的毛发在阳光下泛着柔和光泽。背景是灰色砖墙，墙根有几株嫩绿植物，模糊的绿植在远处形成自然背景，阳光透过树叶洒下斑驳光影，整个场景宁静而温暖，尽显柴犬的悠闲惬意。",5.349,1548,606,2154,2025-08-15T15:47:25.537025,
