模型名称,模型ID,图片名称,图片路径,图片标题,图片描述,耗时(秒),输入Token,输出Token,总Token,时间戳,错误信息
豆包1.6 Flash,ep-20250612122042-t6g56,仓鼠.png,workspace/input/穆昭/宠物\仓鼠.png,解析失败,[图片]《小仓鼠的野餐时光。一只棕白相间的小仓鼠坐在红白格子野餐垫上，正捧着一块饼干小口啃食，圆滚滚的身体透着可爱。它有着粉色的耳朵、黑色圆溜溜的眼睛和粉白相间的小爪子，周围散落着鲜红的草莓和几朵黄色小花，背景是绿意盎然的草地，阳光透过树叶洒下柔和光斑，整个画面温馨又充满生机。》,4.868,1615,355,1970,2025-08-15T11:03:14.737552,
豆包1.6 Flash,ep-20250612122042-t6g56,狗.png,workspace/input/穆昭/宠物\狗.png,解析失败,[图片]《栅栏边的柴犬》画面中一只棕黄色与白色相间的柴犬正从金属栏杆的缝隙中探出头，耳朵竖立，眼睛微闭，嘴角上扬似在微笑。它的黑色鼻子小巧可爱，周围点缀着白色毛发。背景是灰色砖墙，栏杆旁有绿色植物点缀，阳光透过树叶洒下柔和光影，整体氛围宁静而温馨。,5.063,1615,476,2091,2025-08-15T11:03:19.800088,
豆包1.6 Flash,ep-20250612122042-t6g56,猫4.png,workspace/input/穆昭/宠物\猫4.png,解析失败,[图片]《蓝眼长毛猫的卧室静照》《画面中一只灰白长毛猫端坐于铺着白色床单的床上，毛发蓬松柔软，带有黑色条纹。它拥有一双明亮的蓝色眼睛，耳朵竖立，胡须清晰，神情专注地望向镜头。背景是模糊的木质床头板和窗户，阳光透过窗户洒入，形成柔和光影，整体氛围温暖宁静，展现出猫咪慵懒惬意的状态。》,6.192,1615,522,2137,2025-08-15T11:03:25.992495,
豆包1.6 Flash,ep-20250612122042-t6g56,猫3.png,workspace/input/穆昭/宠物\猫3.png,解析失败,[图片]《一张温馨卧室的照片，画面中一只灰白相间的猫正从浅蓝色的被子里探出头，它的毛发有灰色条纹，白色的脸和胸部，绿色的眼睛明亮，粉色的鼻子小巧。背景是木质床头板和两个蓝白条纹的枕头，柔和的阳光从窗外洒入，照亮了猫的绒毛和被子，整个场景充满舒适温暖的居家氛围。》,6.12,1615,691,2306,2025-08-15T11:03:32.112496,
豆包1.6 Flash,ep-20250612122042-t6g56,流浪猫2.png,workspace/input/穆昭/宠物\流浪猫2.png,解析失败,[图片]《阳光下的蓝色塑料箱里，两只猫咪依偎其中。左侧是橘白相间的猫，橙黄毛发柔软，胸部和下巴雪白，耳朵竖起，黄眼睛明亮；右侧是黑白猫，脸部有对称白色“面具”，黑白色毛发整洁，同样抬头望向镜头。蓝色塑料箱置于灰色水泥墙旁的石板路上，阳光斜照形成柔和光影，地面散落几片落叶，整体画面温馨宁静，尽显猫咪的慵懒可爱。》,6.188,1615,689,2304,2025-08-15T11:03:38.300826,
豆包1.6 Flash,ep-20250612122042-t6g56,猫.png,workspace/input/穆昭/宠物\猫.png,解析失败,[图片]《萌猫与蘑菇玩偶》画面中一只橘白相间的小猫蹲坐在柔软的地毯上，前爪搭在一个橙色带白色圆点的蘑菇形状玩偶上。小猫毛发蓬松，白色的脸颊、爪子和腹部与橘色条纹的背部、尾巴形成鲜明对比，圆溜溜的棕色眼睛透着好奇，粉色的小鼻子微微翘起，胡须清晰可见。背景是模糊的室内环境，隐约可见书架和窗户，柔和的光线洒在小猫和玩偶上，整体氛围温馨可爱，充满童趣。,5.583,1615,577,2192,2025-08-15T11:03:43.884200,
豆包1.6 Flash,ep-20250612122042-t6g56,猫5.png,workspace/input/穆昭/宠物\猫5.png,解析失败,[图片]《一只浅棕色与白色相间的猫咪仰卧在蓝白格子枕头上，脖颈系着蓝白条纹三角巾，上面有卡通图案。它仰着头，一只前爪抬起，眼睛明亮，另一只爪子自然放在身侧。背景有黄色靠枕，阳光透过窗户洒下柔和光影，整体氛围温馨舒适。》,5.504,1615,528,2143,2025-08-15T11:03:49.387915,
豆包1.6 Flash,ep-20250612122042-t6g56,金鱼.png,workspace/input/穆昭/宠物\金鱼.png,解析失败,[图片]《透明鱼缸中，六条橙红色金鱼在水中游动，鳞片闪烁光泽，尾鳍呈白色。鱼缸底部铺有浅色石子，点缀着绿色水草，水面有细密气泡上升。背景为模糊的室内环境，光线柔和，整体画面宁静，展现出金鱼在水中悠然生活的场景。》,7.624,1615,778,2393,2025-08-15T11:03:57.012204,
豆包1.6 Flash,ep-20250612122042-t6g56,绘制精美客厅猫图.png,workspace/input/穆昭/宠物\绘制精美客厅猫图.png,解析失败,[图片]《室内浅棕色沙发上，一只橘色条纹猫正闭眼酣睡，前爪轻抱着一团浅灰色毛线球，白色爪子粉嫩的肉垫清晰可见。沙发上还放着几个同色系靠垫，阳光透过窗户洒下柔和光影，背景中可见木质书架、落地灯和绿植，整个场景温馨宁静，尽显猫咪的慵懒惬意。》,6.392,1615,708,2323,2025-08-15T11:04:03.404307,
豆包1.6 Flash,ep-20250612122042-t6g56,柯基.png,workspace/input/穆昭/宠物\柯基.png,解析失败,[图片]《庭院中的柯基犬》画面中央，一只棕白相间的柯基犬正坐在木质餐桌上，它耳朵竖起，黑亮的眼睛圆睁，黑鼻头微翘，表情好奇。背景是一扇白色双开门，门上玻璃窗映着绿植，门边挂着亮着暖光的壁灯，周围有大叶绿植和两把木椅，整体环境温馨自然，阳光洒下柔和光影，尽显闲适氛围。,4.597,1615,443,2058,2025-08-15T11:04:08.001558,
豆包1.6 Flash,ep-20250612122042-t6g56,小狗.png,workspace/input/穆昭/宠物\小狗.png,解析失败,[图片]《春日花园中的小白犬，一只白色卷毛小狗闭着眼睛坐在绿色草地上，脖颈戴着绿色项圈，项圈上装饰着粉色小花。周围环绕着粉色花朵，阳光透过空气洒下柔和光束，整体画面温馨宁静，充满春日生机。》,4.153,1615,426,2041,2025-08-15T11:04:12.155536,
豆包1.6 Flash,ep-20250612122042-t6g56,流浪猫.png,workspace/input/穆昭/宠物\流浪猫.png,解析失败,[图片]《一只虎斑猫从打开的纸箱中探出头，绿眼睛明亮，白色脸颊点缀着深色条纹。纸箱旁地面散落着零食碎屑，旁边有一盘食物，背景是居民楼街道，有树木、灌木丛及带空调外机的墙体，阳光洒下柔和光影，整体氛围宁静日常。》,6.628,1615,713,2328,2025-08-15T11:04:18.783813,
豆包1.6 Flash,ep-20250612122042-t6g56,猫2.png,workspace/input/穆昭/宠物\猫2.png,解析失败,[图片]《室内场景中，一只银灰色带黑色条纹的猫咪正蜷缩在米白色流苏地毯上，双眼轻闭似在熟睡，前爪温柔地抱着一只棕色毛绒泰迪熊。背景是浅棕色木质地板，阳光透过窗户洒下柔和光影，整个画面充满温馨宁静的氛围，展现出猫咪与玩偶相伴的治愈瞬间。》,5.454,1615,560,2175,2025-08-15T11:04:24.238107,
豆包1.6 Flash,ep-20250612122042-t6g56,羊驼.png,workspace/input/穆昭/宠物\羊驼.png,解析失败,[图片]《阳光下的羊驼群与乡村小屋》。画面中四只白色羊驼戴着红色项圈，面向镜头站立在翠绿草地上，毛发蓬松，表情温顺。背景有一座茅草屋顶的木质小屋，旁设木栅栏，栅栏外是茂密的树木与起伏的绿地，右侧有带茅草伞的野餐桌。阳光透过树叶洒下柔和光影，整体场景宁静自然，充满田园气息。,4.862,1615,459,2074,2025-08-15T11:04:29.099651,
豆包1.6 Flash,ep-20250612122042-t6g56,鸭子.png,workspace/input/穆昭/宠物\鸭子.png,解析失败,[图片]《水边的小白鸭，一只蓬松洁白的小鸭子站在泥地上，圆溜溜的黑眼睛明亮有神，黄色扁嘴张开露出粉红色舌头，橙色脚蹼踩在湿润的泥里。背景是平静的水面，几只棕白色鸭子在水中游动，远处有绿色树木和蓝天白云，阳光洒下柔和光影，整体场景明亮清新，充满自然生机。》,6.768,1615,703,2318,2025-08-15T11:04:35.867388,
豆包1.6 Flash,ep-20250612122042-t6g56,浣熊.png,workspace/input/穆昭/宠物\浣熊.png,解析失败,[图片]《小熊猫休憩时光》。画面中，一只红棕色毛发的小熊猫正趴在一张原木色圆桌上，它的脸部有白色毛发，耳朵内侧雪白，前爪自然伸展，黑亮的眼睛看向镜头，神态慵懒放松。背景是玻璃幕墙环绕的建筑，内部有木制楼梯，几位游客在楼梯上走动，周围有绿植和树木，阳光透过树叶洒下柔和光影，整体场景充满自然与宁静的氛围。,4.028,1615,366,1981,2025-08-15T11:04:39.895174,
