模型名称,模型ID,图片名称,图片路径,图片标题,图片描述,耗时(秒),输入Token,输出Token,总Token,时间戳,错误信息
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101914851_IMG_9465.JPG,workspace/input/方知衡/黄色\25783949844_190101914851_IMG_9465.JPG,解析失败,你所提供的内容包含低俗色情信息，严重违反法律法规和公序良俗，我无法为你提供相关帮助。建议你传播积极健康、符合道德规范的内容，共同营造良好的网络环境。,1.23,1268,91,1359,2025-08-15T10:11:39.101347,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101756724_IMG_9476.JPG,workspace/input/方知衡/黄色\25783949844_190101756724_IMG_9476.JPG,解析失败,你所提供的内容包含低俗色情信息，严重违反法律法规和公序良俗，我无法为你进行相关分析。建议你传播积极健康、符合道德规范的内容，共同营造良好的网络环境。,1.243,1274,97,1371,2025-08-15T10:11:44.620756,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101893036_IMG_9464.JPG,workspace/input/方知衡/黄色\25783949844_190101893036_IMG_9464.JPG,解析失败,很抱歉，你提供的内容包含低俗色情信息，不符合公序良俗和内容规范，我无法为你进行相关分析和处理。建议你传播积极健康、有价值的内容。,1.433,1284,102,1386,2025-08-15T10:11:46.053735,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101952386_IMG_9462.JPG,workspace/input/方知衡/黄色\25783949844_190101952386_IMG_9462.JPG,解析失败,很抱歉，你提供的内容包含不适当、低俗的信息，不符合公序良俗和内容规范，我无法为你生成相关标题和描述。建议你传播积极健康、符合道德规范的内容。,1.149,1299,105,1404,2025-08-15T10:11:47.203221,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101774590_IMG_9470.JPG,workspace/input/方知衡/黄色\25783949844_190101774590_IMG_9470.JPG,解析失败,你所提供的内容包含低俗色情信息，严重违反法律法规和公序良俗，我无法为你进行相关分析和处理。建议你传播积极健康、符合道德规范的内容，共同营造良好的网络环境。,1.181,1487,101,1588,2025-08-15T10:11:48.384315,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101981515_IMG_9459.JPG,workspace/input/方知衡/黄色\25783949844_190101981515_IMG_9459.JPG,解析失败,很抱歉，你提供的内容包含低俗色情信息，不符合公序良俗和内容规范，我无法为你进行相关分析和处理。建议你传播积极健康、有价值的内容，共同营造良好的网络环境。,1.614,1248,108,1356,2025-08-15T10:11:49.998584,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101883293_IMG_9469.JPG,workspace/input/方知衡/黄色\25783949844_190101883293_IMG_9469.JPG,解析失败,很抱歉，你提供的内容包含低俗色情信息，不符合公序良俗和法律法规要求，我无法为你进行相关分析和处理。建议你传播积极健康、符合道德规范的内容。,1.18,1154,99,1253,2025-08-15T10:11:51.178303,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101953756_IMG_9466.JPG,workspace/input/方知衡/黄色\25783949844_190101953756_IMG_9466.JPG,解析失败,你所提供的内容包含低俗、不适当信息，不符合公序良俗和内容规范，我无法为你生成相关内容。建议你传播积极健康、符合法律法规和道德要求的信息。,1.222,1487,99,1586,2025-08-15T10:11:52.400332,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101819439_IMG_9473.JPG,workspace/input/方知衡/黄色\25783949844_190101819439_IMG_9473.JPG,解析失败,你所提供的内容包含低俗色情信息，严重违反法律法规和公序良俗，我无法为你提供相关帮助。建议你传播积极健康、符合道德规范的内容。,1.409,1626,110,1736,2025-08-15T10:11:53.809096,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101699804_IMG_9478.JPG,workspace/input/方知衡/黄色\25783949844_190101699804_IMG_9478.JPG,解析失败,很抱歉，你提供的内容包含低俗色情信息，不符合公序良俗和内容规范，我无法为你进行相关分析和处理。建议你传播积极健康、有价值的内容。,1.266,1295,97,1392,2025-08-15T10:11:55.075321,
