模型名称,模型ID,图片名称,图片路径,图片标题,图片描述,耗时(秒),输入Token,输出Token,总Token,时间戳,错误信息
豆包1.6 Flash,ep-20250612122042-t6g56,绘制精美客厅猫图.png,workspace/input/穆昭/宠物\绘制精美客厅猫图.png,解析失败,[图片]《暖阳下的橘猫》：画面中，一只橘白相间的猫咪正惬意地趴在浅棕色沙发上，它眯着眼睛，胡须自然舒展，前爪轻搭着一团浅灰色毛线球，显得慵懒又可爱。沙发上还放着黄色和灰色的抱枕，背景中，阳光透过窗户洒入，照亮了一旁的落地灯和书架，整体氛围温馨舒适，充满了居家的宁静感。,5.025,1611,510,2121,2025-08-15T10:58:16.429995,
豆包1.6 Flash,ep-20250612122042-t6g56,猫4.png,workspace/input/穆昭/宠物\猫4.png,解析失败,[图片]《蓝眼长毛猫的卧室时光。画面中一只灰白条纹长毛猫安静坐在白色床铺上，蓬松毛发在阳光下泛着柔和光泽，明亮的蓝色眼睛格外醒目，耳朵竖起，前爪并拢，尾巴自然垂落在身侧。背景是浅灰色墙壁、木质床头板和白色枕头，右侧窗户透进温暖阳光，形成柔和光影，整体氛围宁静温馨，尽显猫咪的乖巧与卧室的舒适。》,6.095,1611,451,2062,2025-08-15T10:58:22.525236,
豆包1.6 Flash,ep-20250612122042-t6g56,羊驼.png,workspace/input/穆昭/宠物\羊驼.png,解析失败,[图片]《阳光下的羊驼群与乡村小屋》画面中四只白色羊驼戴着红色项圈，面向镜头站立在绿草地上，毛发蓬松。背景有茅草屋顶的木屋、木栅栏和带茅草伞的野餐区，周围绿树环绕，阳光透过树叶洒下柔和光影，整体呈现宁静祥和的田园氛围。,5.063,1611,467,2078,2025-08-15T10:58:27.588074,
豆包1.6 Flash,ep-20250612122042-t6g56,猫.png,workspace/input/穆昭/宠物\猫.png,解析失败,[图片]《萌猫与蘑菇玩偶：画面中是一只橙白相间的小猫，它有着大大的圆眼睛，深棕色瞳孔，粉色的小鼻子，白色的胡须清晰可见。小猫的前爪搭在一个橙色带白色圆点的蘑菇形状毛绒玩具上，姿态可爱。背景是模糊的室内环境，能看到柔和的光线和一些家具轮廓，整体氛围温馨治愈。》,6.023,1611,664,2275,2025-08-15T10:58:33.610996,
豆包1.6 Flash,ep-20250612122042-t6g56,猫2.png,workspace/input/穆昭/宠物\猫2.png,解析失败,[图片]《猫咪依偎小熊玩偶酣睡》《画面中，一只银灰色带黑色条纹的猫咪蜷缩在浅色流苏地毯上，双眼紧闭，正依偎着棕色毛绒小熊酣睡，前爪轻轻抱着小熊。背景是木质地板和模糊的室内家具，柔和的阳光透过窗户洒下，光影温暖，整个场景充满宁静温馨的氛围。》,6.039,1611,648,2259,2025-08-15T10:58:39.650350,
豆包1.6 Flash,ep-20250612122042-t6g56,猫3.png,workspace/input/穆昭/宠物\猫3.png,解析失败,[图片]《被窝里的灰白猫咪》画面中一只灰白相间的猫咪蜷缩在浅蓝色的被子里，仅露出头部。它毛色灰白条纹清晰，脸部呈白色，粉色耳朵竖起，绿色眼睛明亮，粉色鼻子小巧。背景是铺着白色床单的床，床头有蓝白条纹和白色枕头，阳光柔和地洒在被子和猫咪身上，整体氛围温馨舒适。,5.118,1611,489,2100,2025-08-15T10:58:44.768650,
豆包1.6 Flash,ep-20250612122042-t6g56,金鱼.png,workspace/input/穆昭/宠物\金鱼.png,解析失败,[图片]《鱼缸中的金鱼群，透明方形鱼缸内，几条红色金鱼在清澈水中游动，鳞片闪着光泽，尾鳍呈白色，体型圆润。底部铺着黄色小石子，点缀绿色水草和棕色石头，水面有气泡上升。背景模糊，光线柔和，整体氛围宁静，金鱼姿态自然生动。》,9.131,1611,1085,2696,2025-08-15T10:58:53.899216,
豆包1.6 Flash,ep-20250612122042-t6g56,流浪猫.png,workspace/input/穆昭/宠物\流浪猫.png,解析失败,[图片]《午后街头纸箱中的猫咪》画面中，一只虎斑猫正从打开的纸箱中探出头，灰白相间的条纹毛发搭配明亮的绿眼睛，显得好奇又可爱。纸箱旁地面上放着一盘零食，周围散落着碎屑。背景是浅蓝色居民楼，墙体有空调外机，旁有绿植和树木，阳光透过树叶洒下柔和光影，整体场景宁静而充满生活气息。,6.078,1611,682,2293,2025-08-15T10:58:59.977594,
豆包1.6 Flash,ep-20250612122042-t6g56,浣熊.png,workspace/input/穆昭/宠物\浣熊.png,解析失败,[图片]《一只红棕色小熊猫趴在木制圆桌上，白色面部与耳朵内侧，黑色四肢舒展，前爪自然垂下，眼睛明亮注视前方。背景为玻璃幕墙建筑，木质楼梯上有几位游客走动，周围绿植环绕，阳光透过树叶洒下柔和光影，整体场景宁静自然，充满生机。》,6.198,1611,592,2203,2025-08-15T10:59:06.176036,
豆包1.6 Flash,ep-20250612122042-t6g56,猫5.png,workspace/input/穆昭/宠物\猫5.png,解析失败,[图片]《戴三角巾的萌猫》画面中，一只浅棕色与白色相间的猫咪正惬意地躺卧在蓝白格子抱枕上，蓬松的毛发柔软顺滑。它戴着蓝白条纹三角巾，巾角有卡通图案，一双翠绿眼睛明亮有神，正仰头望向空中，一只前爪抬起，粉嫩的肉垫清晰可见。背景中还有黄色靠垫，阳光透过窗户洒下柔和光影，整体氛围温馨舒适，尽显猫咪的可爱与慵懒。,5.4,1611,571,2182,2025-08-15T10:59:11.575985,
