模型名称,模型ID,图片名称,图片路径,图片标题,图片描述,耗时(秒),输入Token,输出Token,总Token,时间戳,错误信息
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190102028505_IMG_9458.JPG,workspace/input/方知衡/黄色\25783949844_190102028505_IMG_9458.JPG,解析失败,None,1.04,1282,46,1328,2025-08-15T10:15:06.105019,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101819439_IMG_9473.JPG,workspace/input/方知衡/黄色\25783949844_190101819439_IMG_9473.JPG,解析失败,None,1.0,1634,49,1683,2025-08-15T10:15:07.104963,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190102034736_IMG_9460.JPG,workspace/input/方知衡/黄色\25783949844_190102034736_IMG_9460.JPG,解析失败,None,0.853,1282,50,1332,2025-08-15T10:15:07.957703,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101731624_IMG_9475.JPG,workspace/input/方知衡/黄色\25783949844_190101731624_IMG_9475.JPG,解析失败,None,0.979,1634,48,1682,2025-08-15T10:15:08.936684,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101914851_IMG_9465.JPG,workspace/input/方知衡/黄色\25783949844_190101914851_IMG_9465.JPG,解析失败,None,0.891,1276,51,1327,2025-08-15T10:15:09.827352,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101836202_IMG_9472.JPG,workspace/input/方知衡/黄色\25783949844_190101836202_IMG_9472.JPG,酒吧女孩背影,在灯光昏暗的酒吧吧台前，一位长发女孩背对着镜头坐在高脚凳上。她穿着露腰的格子短上衣和浅蓝色牛仔背带裤，裤子后袋有装饰图案。吧台上摆放着酒瓶、杯子和一个粉色编织包，背景中酒架上摆满各式酒瓶，暖色调灯光营造出休闲氛围。,3.097,1634,338,1972,2025-08-15T10:15:12.924509,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101953756_IMG_9466.JPG,workspace/input/方知衡/黄色\25783949844_190101953756_IMG_9466.JPG,解析失败,None,0.996,1495,52,1547,2025-08-15T10:15:13.920073,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101883293_IMG_9469.JPG,workspace/input/方知衡/黄色\25783949844_190101883293_IMG_9469.JPG,解析失败,None,0.862,1162,50,1212,2025-08-15T10:15:14.782242,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101827984_IMG_9463.JPG,workspace/input/方知衡/黄色\25783949844_190101827984_IMG_9463.JPG,解析失败,None,1.454,1495,78,1573,2025-08-15T10:15:16.235883,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101772923_IMG_9477.JPG,workspace/input/方知衡/黄色\25783949844_190101772923_IMG_9477.JPG,解析失败,None,0.972,1303,51,1354,2025-08-15T10:15:17.208305,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101981515_IMG_9459.JPG,workspace/input/方知衡/黄色\25783949844_190101981515_IMG_9459.JPG,解析失败,None,0.887,1256,48,1304,2025-08-15T10:15:18.095579,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101699804_IMG_9478.JPG,workspace/input/方知衡/黄色\25783949844_190101699804_IMG_9478.JPG,解析失败,None,0.913,1303,45,1348,2025-08-15T10:15:19.008425,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101818363_IMG_9468.JPG,workspace/input/方知衡/黄色\25783949844_190101818363_IMG_9468.JPG,解析失败,None,0.922,1495,50,1545,2025-08-15T10:15:19.930192,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101850206_IMG_9474.JPG,workspace/input/方知衡/黄色\25783949844_190101850206_IMG_9474.JPG,解析失败,None,0.974,1497,52,1549,2025-08-15T10:15:20.904257,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101756724_IMG_9476.JPG,workspace/input/方知衡/黄色\25783949844_190101756724_IMG_9476.JPG,解析失败,None,1.108,1282,51,1333,2025-08-15T10:15:22.012354,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101864516_IMG_9467.JPG,workspace/input/方知衡/黄色\25783949844_190101864516_IMG_9467.JPG,解析失败,None,0.9,1280,51,1331,2025-08-15T10:15:22.912476,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101774590_IMG_9470.JPG,workspace/input/方知衡/黄色\25783949844_190101774590_IMG_9470.JPG,解析失败,None,1.114,1495,52,1547,2025-08-15T10:15:24.026229,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101893036_IMG_9464.JPG,workspace/input/方知衡/黄色\25783949844_190101893036_IMG_9464.JPG,解析失败,None,1.049,1292,74,1366,2025-08-15T10:15:25.074882,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101920664_IMG_9461.JPG,workspace/input/方知衡/黄色\25783949844_190101920664_IMG_9461.JPG,解析失败,None,1.07,1297,49,1346,2025-08-15T10:15:26.144468,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101892509_IMG_9471.JPG,workspace/input/方知衡/黄色\25783949844_190101892509_IMG_9471.JPG,解析失败,None,1.278,1283,85,1368,2025-08-15T10:15:27.422835,
豆包1.6 Flash,ep-20250612122042-t6g56,25783949844_190101952386_IMG_9462.JPG,workspace/input/方知衡/黄色\25783949844_190101952386_IMG_9462.JPG,解析失败,None,0.961,1307,57,1364,2025-08-15T10:15:28.383602,
