天数,日期,星期,时间段,活动安排,当日概要
1,2025-06-24,星期二,上午,6:30-7:30 晨跑（校园环道）; 8:00-9:00 早餐并浏览《自然》期刊天文学版块; 9:30-12:00 在常去的星云咖啡店撰写星系演化论文文献综述部分,完成星系演化论文文献综述初稿，准备天体物理学讲座大纲，阅读最新研究文献
1,2025-06-24,星期二,中午,12:30-13:15 午餐（咖啡店简餐）; 13:30-14:00 整理上午工作笔记，规划下午任务,
1,2025-06-24,星期二,下午,14:30-16:30 在大学办公室准备下周天体物理学讲座大纲; 17:00-18:00 审阅研究生提交的观测数据报告,
1,2025-06-24,星期二,晚上,19:00-20:30 晚餐后散步至校园天文台检查设备; 21:00-22:30 精读《天体物理学杂志》最新期刊,
1,2025-06-24,星期二,夜间,23:00 睡前整理明日待办事项,
2,2025-06-25,星期三,上午,6:30-7:00 晨跑（校园环道）; 7:30-8:30 在教工餐厅早餐并审阅研究生提交的观测数据报告; 9:00-11:30 天文台会议室：带领研究生团队分析Kepler-186f最新观测数据,完成系外行星观测数据分析，指导3名研究生课题，参加系教研会议并确定下季度观测计划
2,2025-06-25,星期三,中午,12:00-12:40 与同事在教工餐厅午餐，交流系外行星研究进展; 13:00-13:30 校园咖啡厅阅读《Astrophysical Journal》最新期刊,
2,2025-06-25,星期三,下午,14:00-15:30 参加天文系季度教研会议（3号教学楼207室）; 16:00-17:30 整理会议纪要并回复国际合作项目的邮件,
2,2025-06-25,星期三,晚上,18:00-19:30 在星云咖啡厅进行1对1学生指导（3名研究生分时段）; 20:00-21:00 修改星系演化论文的文献综述部分,
2,2025-06-25,星期三,夜间,22:00-22:30 睡前阅读《Exoplanet Atmospheres》专著,
3,2025-06-26,星期四,上午,6:30-7:30 晨跑（途经大学天文台，提前查看设备状况）; 8:00-9:30 在大学天文台测试新安装的观测设备（重点检查自动追踪系统）; 10:00-11:30 在校园咖啡厅整理测试数据，准备下午分析报告,完成新观测设备测试，分析射电望远镜数据，作为特邀嘉宾参加天文爱好者讲座
3,2025-06-26,星期四,中午,12:00-12:30 在常去的咖啡厅用午餐（阅读最新《天体物理学杂志》）; 13:00-13:30 小憩（在咖啡厅角落沙发区）,
3,2025-06-26,星期四,下午,14:00-16:00 分析最近的射电望远镜数据（使用办公室专用工作站）; 16:30-17:30 与研究生视频会议讨论数据分析结果,
3,2025-06-26,星期四,晚上,18:00-19:00 在咖啡厅准备晚间讲座材料（测试演示文稿）; 19:30-21:00 作为特邀嘉宾参加本地天文爱好者协会月度讲座（主题：现代望远镜技术发展）,
3,2025-06-26,星期四,夜间,21:30-22:30 在家阅读《量子天体物理学》最新研究论文,
